ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
773;71,4190;5,8250
774;71,4920;5,8760
775;71,3880;5,8320
776;71,5220;5,8000
777;71,5140;5,8410
778;71,5010;5,8430
779;71,5100;5,8410
780;71,5170;5,8310
781;71,5480;5,8600
782;71,4850;5,8480
783;71,5560;5,8850
784;71,5140;5,8680
785;71,4440;5,8380
786;71,4670;5,8010
787;71,4570;5,8290
788;71,4510;5,8470
789;71,4360;5,8810
790;71,4740;5,8310
791;71,4960;5,8610
792;71,4040;5,8470
793;71,5100;5,8540
794;71,4490;5,8530
795;71,4980;5,8350
796;71,4850;5,8220
797;71,4980;5,8310
798;71,4370;5,8800
799;71,4920;5,8430
800;71,4910;5,7850
801;71,3870;5,8740
802;71,4850;5,8230
803;71,3620;5,8570
804;71,5000;5,8420
805;71,4250;5,8610
806;71,5230;5,8480
807;71,4080;5,8370
808;71,4670;5,8470
809;71,5540;5,8120
810;71,4420;5,8320
811;71,3910;5,8390
812;71,5030;5,8750
813;71,4830;5,8300
814;71,3680;5,8240
815;71,4390;5,8930
816;71,3950;5,8620
817;71,3390;5,8090
818;71,4500;5,8060
819;71,4640;5,8490
820;71,4960;5,9140
821;71,4450;5,8620
822;71,3900;5,9060
823;71,9900;5,8130
824;71,4220;5,8380
825;71,5060;5,8650
826;71,5220;5,8370
827;71,5110;5,8240
828;71,4680;5,8550
829;71,3850;5,8020
830;71,5270;5,8370
831;71,4290;5,8340
832;71,4500;5,8260
833;71,4180;5,8650
834;71,5040;5,8220
835;71,4870;5,8340
836;71,4060;5,8240
837;71,5290;5,8380
838;71,5130;5,8430
839;71,4590;5,8580
840;71,3980;5,8110
841;71,4590;5,8640
842;71,5010;5,8500
843;71,4970;5,8780
844;71,4800;5,8440
845;71,4960;5,8650
846;71,4810;5,8280
847;71,4200;5,8620
848;71,3730;5,8700
849;71,4250;5,8760
850;71,5650;5,9310
851;71,4470;5,8410
852;71,5030;5,8250
853;71,4050;5,8510
854;71,4210;5,8620
855;71,4610;5,8650
856;71,4680;5,8380
857;71,5040;5,8810
858;71,4400;5,8330
859;71,5120;5,8220
860;71,5000;5,9560
861;71,4870;5,8300
862;71,5400;5,8740
863;71,3900;5,8440
864;71,5030;5,8830
865;71,3950;5,8420
866;71,5570;5,8440
867;71,3320;5,8350
868;71,3310;5,7900
869;71,4400;5,8300
870;71,4980;5,8240
871;71,4640;5,8290
872;71,4230;5,8280
873;71,4970;5,8240
874;71,3850;5,8210
875;71,4270;5,8230
876;71,4300;5,8440
877;71,5020;5,8390
878;71,4820;5,8420
879;71,4990;5,8590
880;71,5020;5,8350
881;71,4780;5,8210
882;71,3360;5,8240
883;71,4650;5,8540
884;71,2980;5,8380
885;71,5110;5,8140
886;71,4860;5,8820
887;71,4940;5,8480
888;71,4790;5,8870
889;71,4150;5,8380
890;71,5150;5,8510
891;71,3850;5,8520
892;71,5440;5,8710
893;71,5130;5,8620
894;71,4890;5,8560
895;71,3990;5,8280
896;71,3780;5,8460
897;71,4760;5,8150
898;71,5470;5,8790
899;71,5630;5,8320
900;71,4560;5,8460
901;71,5090;5,8660
902;71,4600;5,8620
903;71,5250;5,8450
904;71,4740;5,8670
905;71,4830;5,8470
906;71,4300;5,8100
907;71,3410;5,8490
908;71,5130;5,8570
909;71,4880;5,8630
910;71,4710;5,7370
911;71,1790;5,8570
912;71,4690;5,8950
913;71,5110;5,8710
914;71,4750;5,8430
915;71,4230;5,7960
916;71,4580;5,8600
917;71,4290;5,8450
918;71,4300;5,8490
919;71,4860;5,8560
920;71,5470;5,8440
921;71,5010;5,8510
922;71,4400;5,8020
923;71,4890;5,8610
924;71,5570;5,8570
925;71,3750;5,8350
926;71,3900;5,8460
927;71,4560;5,8070
928;71,4030;5,8270
929;71,4480;5,8740
930;71,4180;5,8390
931;71,5350;5,8520
932;71,4790;5,8500
933;71,3860;5,8420
934;71,3710;5,8510
935;71,4710;5,8350
936;71,4920;5,8540
937;71,4900;5,8540
938;71,3860;5,8830
939;71,4600;5,8260
940;71,3790;5,8120
941;71,4750;5,8770
942;71,3910;5,8280
943;71,4790;5,8310
944;71,4920;5,8600
945;71,4770;5,8300
